CLIENT_ID,APPEARANCE_COUNT
256613323,2
257599789,2
257035767,2
259210608,2
259304592,2
259830969,2
260807860,2
260918910,2
261833353,2
261843320,2
262202202,2
262417953,2
262432663,2
262620616,2
263088689,2
263585037,2
264113327,2
26420320,2
264302507,2
264407224,2
265091094,2
257040156,2
234227083,2
266462010,2
283406939,2
281582309,2
269976672,2
271413555,2
272946830,2
273382313,2
274786230,2
275120160,2
275645820,2
276104101,2
276446551,2
276478953,2
277970962,2
278068467,2
278802563,2
279035497,2
279565873,2
279585096,2
279658740,2
281217529,2
28209745,2
269273599,2
282951503,2
291647343,2
291242673,2
283411816,2
283793620,2
283992289,2
284064518,2
284566515,2
285116570,2
285663961,2
285786692,2
285792260,2
286082153,2
286202641,2
286347851,2
287263206,2
287842045,2
287851562,2
288452687,2
289964883,2
291162748,2
283176480,2
266874642,2
293819864,2
266533108,2
307016829,2
295255117,2
295343494,2
295601086,2
296124703,2
296782515,2
298507852,2
298835887,2
299080500,2
299537610,2
300535930,2
300886011,2
301890291,2
30374554,2
30449268,2
305233781,2
305413515,2
305804976,2
305890636,2
307336957,2
29481220,2
307382770,2
308762791,2
291677228,2
310269699,2
311148804,2
311253653,2
311763099,2
312439941,2
312571404,2
312904160,2
313173463,2
314290930,2
31509914,2
315482522,2
317420511,2
317468162,2
319203632,2
3192553,2
319911398,2
320531410,2
321714650,2
308316785,2
321775487,2
322028212,2
32254869,2
336613662,2
323158766,2
323260731,2
32702517,2
32759889,2
327845065,2
328196265,2
328323673,2
328761107,2
329092314,2
329222420,2
329741966,2
329828676,2
331989598,2
332524309,2
332936719,2
33349151,2
33436484,2
3344735,2
335570310,2
336021390,2
347155584,2
374406055,2
337772166,2
338266737,2
338594232,2
338611294,2
339619712,2
339994206,2
340205910,2
340262049,2
340496582,2
340540804,2
341293331,2
34162078,2
342017109,2
342488864,2
343218712,2
343731244,2
345458079,2
345738570,2
345991612,2
346126340,2
336120064,2
347631351,2
374940300,2
360408706,2
348560281,2
348771991,2
348926807,2
349011575,2
349201500,2
352166329,2
352624520,2
352710303,2
