CLIENT_ID,TOTAL_ACCOUNTS,DEPOSITS,WITHDRAWALS,TOTAL_DEPOSITS_AMOUNT,TOTAL_WITHDRAWALS_AMOUNT,LAST_BALANCE,MAX_LN,TOTAL_LOANS,FIDO_SCORE_AT_SIGNUP,AGE,GENDER,REGION,INCOME_VALUE,CUST_LOCATION,LOAN_SEGMENT,BEHAVIORAL_SEGMENT,FIRST_ACCOUNT_LIFE_DAYS,FIRST_ACCOUNT_CLOSED_DATE,FIRST_ACCOUNT_STATE,SAVINGS_TIMING_CATEGORY,SIMPLIFIED_TIMING,DAYS_DISBURSEMENT_TO_SAVINGS,DAYS_REPAYMENT_TO_SAVINGS,REPAYMENT_STATE,PRIMARY_TIMING_CATEGORY,FIRST_ACCOUNT_STATUS,MONTHLY_DEPOSIT_FREQUENCY,MONTHLY_WITHDRAWAL_FREQUENCY,DAYS_ACTIVE
818754322,1,1,0,20.0000000000,0.0000000000,20.0000000000,0,1,337,40,FEMALE,Upper East Region,Above 1800 GHS,Kassena Nankana East Municipal,low_ln_savers,savers,13,,ACTIVE,after_loan_closed,after_loan_closed,9,0,PAID,after_loan_closed,still_active,1.000000,0.000000,0
818809105,1,3,0,60.0000000000,0.0000000000,60.1000000000,16,17,542,31,FEMALE,Greater Accra Region,1401 GHS - 1800 GHS,Ledzokuku Municipal,high_ln_savers,savers,23,,ACTIVE,with_active_loan,with_active_loan,0,,PENDING,with_active_loan,still_active,3.000000,0.000000,10
818841871,1,2,0,120.0000000000,0.0000000000,120.0600000000,22,23,350,23,MALE,Other Region,1001 GHS - 1400 GHS,Upper East,high_ln_savers,savers,23,,ACTIVE,before_disbursement,before_disbursement,-7,,PENDING,before_disbursement,still_active,2.000000,0.000000,6
818848350,1,1,0,25.0000000000,0.0000000000,25.0000000000,3,4,444,36,MALE,Greater Accra Region,1401 GHS - 1800 GHS,Ablekuma West Municipal,mid_ln_savers,savers,17,,ACTIVE,with_active_loan,with_active_loan,0,,PENDING,with_active_loan,still_active,1.000000,0.000000,0
818887028,1,6,0,500.0000000000,0.0000000000,500.6400000000,0,1,469,32,MALE,North East Region,Above 1800 GHS,East Mamprusi Municipal,low_ln_savers,ultra_savers,43,,ACTIVE,after_loan_closed,after_loan_closed,101,99,PAID,after_loan_closed,still_active,6.000000,0.000000,32
818988351,2,2,1,220.0000000000,-20.0000000000,200.0000000000,0,1,432,22,FEMALE,Eastern Region,351 GHS - 700 GHS,Denkyembuor District,low_ln_savers,savers,0,2025-09-04 12:16:39.000,CLOSED,after_loan_closed,after_loan_closed,45,2,PAID,after_loan_closed,closed,2.000000,1.000000,31
819084348,1,2,2,100.0000000000,-80.0000000000,20.2500000000,6,7,441,31,MALE,Greater Accra Region,Above 1800 GHS,Ashaiman Municipal,mid_ln_savers,savers,47,,ACTIVE,before_disbursement,before_disbursement,-8,,PENDING,before_disbursement,still_active,2.000000,2.000000,23
819157666,1,13,8,620.0000000000,-600.0000000000,20.9000000000,32,33,686,41,FEMALE,Central Region,701 GHS - 1000 GHS,Cape Coast,high_ln_savers,savers,53,,ACTIVE,before_disbursement,before_disbursement,-47,,PENDING,before_disbursement,still_active,6.500000,4.000000,46
819341495,1,5,0,250.0000000000,0.0000000000,250.1800000000,0,1,290,46,MALE,Ahafo Region,Above 1800 GHS,Tano North Municipal,low_ln_savers,savers,8,,ACTIVE,with_active_loan,with_active_loan,2,,PENDING,with_active_loan,still_active,5.000000,0.000000,5
819370814,1,5,4,135.0000000000,-115.0000000000,20.3700000000,3,4,425,34,MALE,Greater Accra Region,Above 1800 GHS,Kpone Katamanso Municipal,mid_ln_savers,savers,33,,ACTIVE,with_active_loan,with_active_loan,9,,LATE,with_active_loan,still_active,5.000000,4.000000,24
